PayKey,Year,Payroll,Abbrev,HR,SO,OBP,SLG,pFIP,RegSeasonW
ARI-15,2015,91518833,ARI,154,1312,0.324,0.414,4.21,79
ATL-15,2015,97578565,ATL,100,1107,0.314,0.359,4.34,67
BAL-15,2015,110146097,BAL,217,1331,0.307,0.421,4.11,81
BOS-15,2015,187407202,BOS,161,1148,0.325,0.415,4.17,78
CHC-15,2015,119006885,CHC,171,1518,0.321,0.398,3.3,97
CHW-15,2015,115238678,CHW,136,1231,0.306,0.38,3.82,76
CIN-15,2015,117197072,CIN,167,1255,0.312,0.394,4.24,64
CLE-15,2015,86091175,CLE,141,1157,0.325,0.401,3.62,81
COL-15,2015,102006130,COL,186,1283,0.315,0.432,4.56,68
DET-15,2015,173813750,DET,151,1259,0.328,0.42,4.46,74
HOU-15,2015,70910100,HOU,230,1392,0.315,0.437,3.66,86
KCR-15,2015,113618650,KCR,139,973,0.322,0.412,4.04,95
ANA-15,2015,150933083,ANA,176,1150,0.307,0.396,4.06,85
LAD-15,2015,272789040,LAD,187,1258,0.326,0.413,3.41,92
FLA-15,2015,68479000,FLA,120,1150,0.31,0.384,3.98,71
MIL-15,2015,105002536,MIL,145,1299,0.307,0.393,4.17,68
MIN-15,2015,108945000,MIN,156,1264,0.305,0.399,4.1,83
NYM-15,2015,101409244,NYM,177,1290,0.312,0.4,3.53,90
NYY-15,2015,219282196,NYY,212,1227,0.323,0.421,3.97,87
OAK-15,2015,86086667,OAK,146,1119,0.312,0.395,4.13,68
PHI-15,2015,135827500,PHI,130,1274,0.303,0.382,4.4,63
PIT-15,2015,88278500,PIT,140,1322,0.323,0.396,3.36,98
SDP-15,2015,100675896,SDP,148,1327,0.3,0.385,3.93,74
SEA-15,2015,119798060,SEA,198,1336,0.311,0.411,4.14,76
SFG-15,2015,172672111,SFG,136,1159,0.326,0.406,3.91,84
STL-15,2015,120869458,STL,137,1267,0.321,0.394,3.47,100
TBR-15,2015,76061707,TBR,167,1310,0.314,0.406,3.91,80
TEX-15,2015,142140873,TEX,172,1233,0.325,0.413,4.34,88
TOR-15,2015,122506600,TOR,232,1151,0.34,0.457,4.09,93
WSN-15,2015,164920505,WSN,177,1344,0.321,0.403,3.45,83
ARI-14,2014,112688666,ARI,118,1165,0.302,0.376,3.83,64
ATL-14,2014,110897341,ATL,123,1369,0.305,0.36,3.47,79
BAL-14,2014,107406623,BAL,211,1285,0.311,0.422,3.96,96
BOS-14,2014,162817411,BOS,123,1337,0.316,0.369,3.93,71
CHC-14,2014,89007857,CHC,157,1477,0.3,0.385,3.51,73
CHW-14,2014,91159254,CHW,155,1362,0.31,0.398,4.09,73
CIN-14,2014,112390772,CIN,131,1252,0.296,0.365,4.01,76
CLE-14,2014,82534800,CLE,142,1189,0.317,0.389,3.42,85
COL-14,2014,95832071,COL,186,1281,0.327,0.445,4.43,66
DET-14,2014,162228527,DET,155,1144,0.331,0.426,3.6,90
HOU-14,2014,44544174,HOU,163,1442,0.309,0.383,3.93,70
KCR-14,2014,92034345,KCR,95,985,0.314,0.376,3.69,89
ANA-14,2014,155692000,ANA,155,1266,0.322,0.406,3.57,98
LAD-14,2014,235295219,LAD,134,1246,0.333,0.406,3.48,94
FLA-14,2014,47565400,FLA,122,1419,0.317,0.378,3.56,77
MIL-14,2014,103844806,MIL,150,1197,0.311,0.397,3.89,82
MIN-14,2014,85776500,MIN,128,1329,0.324,0.389,3.97,70
NYM-14,2014,89051758,NYM,125,1264,0.308,0.364,3.75,79
NYY-14,2014,203812506,NYY,147,1133,0.307,0.38,3.67,84
OAK-14,2014,83401400,OAK,146,1104,0.32,0.381,3.67,88
PHI-14,2014,180052723,PHI,125,1306,0.302,0.363,3.81,73
PIT-14,2014,78111667,PIT,156,1244,0.33,0.404,3.8,88
SDP-14,2014,90094196,SDP,109,1294,0.292,0.342,3.46,77
SEA-14,2014,92081943,SEA,136,1232,0.3,0.376,3.61,87
SFG-14,2014,154185878,SFG,132,1245,0.311,0.388,3.58,88
STL-14,2014,111020360,STL,105,1133,0.32,0.369,3.65,90
TBR-14,2014,77062891,TBR,117,1124,0.317,0.367,3.56,77
TEX-14,2014,136036172,TEX,111,1162,0.314,0.375,4.22,67
TOR-14,2014,132628700,TOR,177,1151,0.323,0.414,3.97,83
WSN-14,2014,134704437,WSN,152,1304,0.321,0.393,3.17,96
ARI-13,2013,89100500,ARI,130,1142,0.323,0.391,4.04,81
ATL-13,2013,89778192,ATL,181,1384,0.321,0.402,3.44,96
BAL-13,2013,90993333,BAL,212,1125,0.313,0.431,4.33,85
BOS-13,2013,150655500,BOS,178,1308,0.349,0.446,3.84,97
CHC-13,2013,104304676,CHC,172,1230,0.3,0.392,4.1,66
CHW-13,2013,119073277,CHW,148,1207,0.302,0.378,4.13,63
CIN-13,2013,107491305,CIN,155,1245,0.327,0.391,3.81,90
CLE-13,2013,77772800,CLE,171,1283,0.327,0.41,3.73,92
COL-13,2013,71924071,COL,159,1204,0.323,0.418,3.96,74
DET-13,2013,148414500,DET,176,1073,0.346,0.434,3.27,93
HOU-13,2013,22062600,HOU,148,1535,0.299,0.375,4.67,51
KCR-13,2013,81491725,KCR,112,1048,0.315,0.379,3.83,86
ANA-13,2013,127896250,ANA,164,1221,0.329,0.414,4.08,78
LAD-13,2013,216597577,LAD,138,1146,0.326,0.396,3.44,92
FLA-13,2013,36341900,FLA,95,1232,0.293,0.335,3.69,62
MIL-13,2013,82976944,MIL,157,1183,0.311,0.398,4.12,74
MIN-13,2013,75802500,MIN,151,1430,0.312,0.38,4.23,66
NYM-13,2013,73396649,NYM,130,1384,0.306,0.366,3.79,74
NYY-13,2013,228835490,NYY,144,1214,0.307,0.376,3.89,85
OAK-13,2013,60664500,OAK,186,1178,0.327,0.419,3.83,96
PHI-13,2013,165385714,PHI,140,1205,0.306,0.384,3.94,73
PIT-13,2013,79555000,PIT,161,1330,0.313,0.396,3.42,94
SDP-13,2013,67143600,SDP,146,1309,0.308,0.378,4,76
SEA-13,2013,72031143,SEA,188,1353,0.306,0.39,3.89,71
SFG-13,2013,140264334,SFG,107,1078,0.32,0.381,3.8,76
STL-13,2013,115222086,STL,125,1110,0.332,0.401,3.39,97
TBR-13,2013,57895272,TBR,165,1171,0.329,0.408,3.71,92
TEX-13,2013,114090100,TEX,176,1067,0.323,0.412,3.77,91
TOR-13,2013,117527800,TOR,185,1123,0.318,0.411,4.3,74
WSN-13,2013,114056769,WSN,161,1192,0.313,0.398,3.56,86
ARI-12,2012,74284833,ARI,165,1266,0.328,0.418,3.81,81
ATL-12,2012,83309942,ATL,149,1289,0.32,0.389,3.74,94
BAL-12,2012,81428999,BAL,214,1315,0.311,0.417,4.2,93
BOS-12,2012,173186617,BOS,165,1197,0.315,0.415,4.41,69
